atomic_number,ion_number,level_number,0
1,0,0,0.0
1,0,1,3.85174794993e-07
1,0,2,8.5541643602e-07
1,0,3,6.58770508563e-07
1,0,4,4.14551630853e-07
1,0,5,2.53665912774e-07
1,0,6,1.55839868487e-07
1,0,7,9.92335519799e-08
1,0,8,6.44379506479e-08
1,0,9,4.29049149824e-08
1,0,10,2.88365449217e-08
1,0,11,1.98297169325e-08
1,0,12,1.42529202179e-08
1,0,13,1.04235415035e-08
1,0,14,7.67243269138e-09
1,0,15,5.76270691567e-09
1,0,16,4.39138476602e-09
1,0,17,3.39560259013e-09
1,0,18,2.65415290252e-09
1,0,19,2.08490123788e-09
1,0,20,1.65593417118e-09
1,0,21,1.32629478315e-09
1,0,22,1.06890826087e-09
1,0,23,8.57888167551e-10
1,0,24,6.97901905016e-10
1,0,25,5.67003654922e-10
1,0,26,4.66756879383e-10
1,0,27,3.69045205401e-10
1,0,28,3.05798256454e-10
1,0,29,2.57259661186e-10
