atomic_number,ion_number,level_number_lower,level_number_upper,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0.0,29.0,3.989511486334969e-15,3.98947022404241e-15,3.9906076153228334e-15,3.991020309276726e-15,3.99111743351336e-15,3.9926423751535365e-15,3.99396045464968e-15,3.995067726777351e-15,3.995391439582527e-15,3.996583941392735e-15,3.996956446252925e-15,3.997819649970566e-15,3.9980590081523516e-15,3.999297040867408e-15,3.999913376480691e-15,4.000066663302847e-15,4.000170225428356e-15,4.001288714858241e-15,4.0020479342227456e-15,4.0026201796868975e-15,4.003261947432849e-15,4.004022073052378e-15,4.004670744779439e-15,4.0051204076659095e-15
1,0,0.0,28.0,4.731225377343629e-15,4.731176530972843e-15,4.73252295128156e-15,4.733011476882438e-15,4.733126446492914e-15,4.734931527508075e-15,4.736491669961015e-15,4.7378022375480414e-15,4.738185375013378e-15,4.739596751679055e-15,4.740037615717976e-15,4.7410592072360735e-15,4.7413424797716565e-15,4.742807615785758e-15,4.743536989547731e-15,4.743718387485753e-15,4.743840941262547e-15,4.745164518176898e-15,4.746062922149064e-15,4.746740060863742e-15,4.747499450934916e-15,4.7483988716983755e-15,4.749166397564388e-15,4.7496984417878074e-15
1,0,0.0,27.0,5.614670041324991e-15,5.614611310661144e-15,5.616230303787933e-15,5.616817788285271e-15,5.616956051547346e-15,5.619127086658642e-15,5.621003874533405e-15,5.6225806819019766e-15,5.623041695641855e-15,5.624740112664506e-15,5.625270690854002e-15,5.626500268631187e-15,5.6268412364847115e-15,5.628604946601453e-15,5.629483058229532e-15,5.629701458276654e-15,5.629849013302079e-15,5.631442723405806e-15,5.6325246107091404e-15,5.633340109664495e-15,5.634254734118717e-15,5.635338106432911e-15,5.6362626870298426e-15,5.6369036429345625e-15
1,0,0.0,26.0,6.748667380585589e-15,6.748596420073701e-15,6.7505525655979774e-15,6.751262402623016e-15,6.751429462064375e-15,6.754052697988258e-15,6.756320455301382e-15,6.7582257807809275e-15,6.758782850747155e-15,6.760835174221534e-15,6.761476319744312e-15,6.762962144936362e-15,6.763374175215834e-15,6.765505492933711e-15,6.766566644222888e-15,6.7668305707352486e-15,6.767008884635237e-15,6.768934833669146e-15,6.7702422803888206e-15,6.771227810635603e-15,6.772333144548331e-15,6.773642426433784e-15,6.774759816810177e-15,6.775534442615904e-15
1,0,0.0,25.0,8.171479147101995e-15,8.171395805811489e-15,8.173692947611376e-15,8.174526370114583e-15,8.174722503431938e-15,8.177801680688154e-15,8.180462709051179e-15,8.182697825419656e-15,8.183351210557299e-15,8.18575795574617e-15,8.186509688823821e-15,8.188251552426505e-15,8.188734524117993e-15,8.191232389156066e-15,8.192475782338214e-15,8.192785009190917e-15,8.192993922958732e-15,8.195250074418608e-15,8.196781367016024e-15,8.197935461154186e-15,8.199229679966105e-15,8.200762466985762e-15,8.202070407673176e-15,8.202977025471908e-15
1,0,0.0,24.0,9.943083576166068e-15,9.942981011349326e-15,9.945808185565646e-15,9.946833996766178e-15,9.947075412657085e-15,9.950865838426876e-15,9.954142038097907e-15,9.956894225848094e-15,9.957698826914144e-15,9.960662816376004e-15,9.961588678577296e-15,9.963734162216783e-15,9.964329081377948e-15,9.967406161755276e-15,9.968938026043392e-15,9.969319009683845e-15,9.969576405779696e-15,9.972356314169948e-15,9.974243272077139e-15,9.975665518062635e-15,9.977260544581852e-15,9.979149721851252e-15,9.980761887392683e-15,9.981879444268988e-15
1,0,0.0,23.0,1.2212461574962837e-14,1.2212336225735036e-14,1.221579106255685e-14,1.2217044418303376e-14,1.221733936971434e-14,1.222196959391098e-14,1.2225970528788343e-14,1.22293307300412e-14,1.2230312945876863e-14,1.2233930698343127e-14,1.2235060605184592e-14,1.2237678605815276e-14,1.2238404471868712e-14,1.2242158314460814e-14,1.224402676208025e-14,1.2244491422124257e-14,1.2244805343162227e-14,1.2248195337617585e-14,1.2250496007478946e-14,1.2252229863126242e-14,1.2254174136102457e-14,1.2256476669042607e-14,1.2258441325322236e-14,1.2259803092819952e-14
1,0,0.0,22.0,1.509230685236785e-14,1.509214979133544e-14,1.5096479336987624e-14,1.509805036873018e-14,1.509842010535597e-14,1.5104225655923233e-14,1.510924417849058e-14,1.5113460424071475e-14,1.511469311228804e-14,1.5119234362179492e-14,1.5120653001249214e-14,1.512394054707085e-14,1.5124852186861418e-14,1.5129567701285528e-14,1.5131915396116813e-14,1.5132499298876554e-14,1.513289379290572e-14,1.5137154574269058e-14,1.5140046931902406e-14,1.5142227081781638e-14,1.5144672197236573e-14,1.5147568386612885e-14,1.5150040034802192e-14,1.5151753456755273e-14
1,0,0.0,21.0,1.8902906381367327e-14,1.8902712354267068e-14,1.890806057653427e-14,1.8910001079413354e-14,1.8910457756711846e-14,1.8917627789754777e-14,1.89238248453035e-14,1.8929030528542924e-14,1.893055237655291e-14,1.8936158437869678e-14,1.893790956544176e-14,1.8941967349895037e-14,1.894309251150274e-14,1.894891202521363e-14,1.895180908049405e-14,1.8952529587355115e-14,1.89530163667471e-14,1.8958273552095747e-14,1.8961841953125382e-14,1.8964531493974618e-14,1.8967547721213246e-14,1.8971120124579515e-14,1.8974168644490295e-14,1.8976281853875898e-14
1,0,0.0,20.0,2.387750461989797e-14,2.3877260411986176e-14,2.38839915918648e-14,2.3886433751643055e-14,2.3887008479185124e-14,2.3896031479211523e-14,2.3903829340983892e-14,2.3910379236421983e-14,2.391229396961026e-14,2.3919346973834855e-14,2.3921549965394006e-14,2.3926654631463176e-14,2.3928070028997696e-14,2.393539035565633e-14,2.3939034334649624e-14,2.3939940582539622e-14,2.3940552845062068e-14,2.394716499482368e-14,2.395165284581535e-14,2.3955035250469674e-14,2.3958828363009286e-14,2.3963320717949667e-14,2.3967154121244225e-14,2.3969811319519338e-14
