atomic_number,ion_number,level_number_lower,level_number_upper,0
1,0,0.0,29.0,5.12102997326e-19
1,0,0.0,28.0,5.6819723918899995e-19
1,0,0.0,27.0,6.29449407863e-19
1,0,0.0,26.0,7.04571398027e-19
1,0,0.0,25.0,7.92441439599e-19
1,0,0.0,24.0,8.93196382564e-19
1,0,0.0,23.0,1.0132226035400002e-18
1,0,0.0,22.0,1.15277909564e-18
1,0,0.0,21.0,1.3246914292100002e-18
1,0,0.0,20.0,1.5294994726e-18
1,0,0.0,19.0,1.7741955538000002e-18
1,0,0.0,18.0,2.08505378458e-18
1,0,0.0,17.0,2.46378597523e-18
1,0,0.0,16.0,2.9510385750200003e-18
1,0,0.0,15.0,3.5701193063200004e-18
1,0,0.0,14.0,5.7544224584600005e-18
1,0,0.0,13.0,7.145148951680001e-18
1,0,0.0,12.0,9.096861089450001e-18
1,0,0.0,11.0,1.17424974614e-17
1,0,0.0,10.0,1.56416833865e-17
1,0,0.0,9.0,2.1529070395300002e-17
1,0,0.0,8.0,3.08657262397e-17
1,0,0.0,7.0,4.66679283234e-17
1,0,0.0,6.0,7.60325937389e-17
1,0,0.0,5.0,1.38755112985e-16
1,0,0.0,4.0,3.00160333586e-16
1,0,0.0,3.0,4.3945793068599997e-16
1,0,0.0,2.0,6.862095159149999e-15
1,0,0.0,1.0,2.33145066489e-13
1,0,1.0,29.0,1.0110340994500001e-12
1,0,1.0,28.0,1.1207369035600001e-12
1,0,1.0,27.0,1.2500391590700002e-12
1,0,1.0,26.0,1.3991003213900002e-12
1,0,1.0,25.0,1.57238858451e-12
1,0,1.0,24.0,1.7744503545900002e-12
1,0,1.0,23.0,2.01636884325e-12
1,0,1.0,22.0,2.30082189185e-12
1,0,1.0,21.0,2.65221566701e-12
1,0,1.0,20.0,3.0716569346200004e-12
1,0,1.0,19.0,3.5822936372200003e-12
1,0,1.0,18.0,4.20809456286e-12
1,0,1.0,17.0,4.99609812383e-12
1,0,1.0,16.0,6.01755983333e-12
1,0,1.0,15.0,7.32535279662e-12
1,0,1.0,14.0,2.2476914547e-11
1,0,1.0,13.0,2.81403845795e-11
1,0,1.0,12.0,3.59058201796e-11
1,0,1.0,11.0,4.6925740691e-11
1,0,1.0,10.0,6.31316322834e-11
1,0,1.0,9.0,8.80767611109e-11
1,0,1.0,8.0,1.28702835573e-10
1,0,1.0,7.0,2.00276237018e-10
1,0,1.0,6.0,3.40570822127e-10
1,0,1.0,5.0,6.62618102994e-10
1,0,1.0,4.0,1.61071658673e-09
1,0,1.0,3.0,3.36483736944e-09
1,0,1.0,2.0,3.97622656248e-08
1,0,2.0,29.0,5.15415658936e-11
1,0,2.0,28.0,5.73576928945e-11
1,0,2.0,27.0,6.39589597345e-11
1,0,2.0,26.0,7.17768348182e-11
1,0,2.0,25.0,8.09073430309e-11
1,0,2.0,24.0,9.16200484427e-11
1,0,2.0,23.0,1.04360825242e-10
1,0,2.0,22.0,1.19670157011e-10
1,0,2.0,21.0,1.3810154074e-10
1,0,2.0,20.0,1.60656242583e-10
1,0,2.0,19.0,1.88538434325e-10
1,0,2.0,18.0,2.23344024745e-10
1,0,2.0,17.0,2.67436321922e-10
1,0,2.0,16.0,3.24084794979e-10
1,0,2.0,15.0,3.99136976908e-10
