atomic_number,ion_number,level_number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1.0503408350923465e-09,1.0504904364170703e-09,1.0463744451347794e-09,1.0448849607532979e-09,1.04453472934788e-09,1.039051061858772e-09,1.0343343583091546e-09,1.0303884938620141e-09,1.0292377461513259e-09,1.0250096121263665e-09,1.0236924046133126e-09,1.0206465150611885e-09,1.0198035166372015e-09,1.0154543180960363e-09,1.0132960201970361e-09,1.012759945868466e-09,1.0123979283148888e-09,1.0084962662106154e-09,1.0058563816867882e-09,1.0038711678252518e-09,1.001649404550604e-09,9.990242177302188e-10,9.967893615126088e-10,9.952430646055846e-10
1,0,2,3.2919274703909486e-08,3.2921651300163535e-08,3.285620589515911e-08,3.2832492963385235e-08,3.282691489952505e-08,3.273946305707475e-08,3.266406929608715e-08,3.260087303298504e-08,3.2582421498369767e-08,3.2514542736012905e-08,3.2493369376220384e-08,3.244435944019634e-08,3.243078304198386e-08,3.236065585723683e-08,3.2325802791291235e-08,3.2317140647242335e-08,3.231128977815555e-08,3.224816931707453e-08,3.2205396659259464e-08,3.217319656052345e-08,3.213712416790225e-08,3.209445336548355e-08,3.205808563928224e-08,3.2032900394706786e-08
1,0,3,1.713336954162053e-07,1.7134185315868876e-07,1.711171473164979e-07,1.7103569730656386e-07,1.7101653510019673e-07,1.7071599005566033e-07,1.7045669798496389e-07,1.7023922138447154e-07,1.701757012495677e-07,1.6994193598134239e-07,1.6986898880478668e-07,1.697000851119949e-07,1.6965328345347665e-07,1.6941144459871553e-07,1.6929119451752222e-07,1.6926130253156784e-07,1.6924111058873245e-07,1.6902320779396194e-07,1.6887547861539667e-07,1.6876422750640232e-07,1.6863955914942177e-07,1.6849203367316446e-07,1.6836625468488573e-07,1.6827912632090209e-07
1,0,4,4.83126741304435e-07,4.831442477406145e-07,4.826619799655742e-07,4.824871441948479e-07,4.824460097031203e-07,4.818007441095458e-07,4.812438943870617e-07,4.807767365870776e-07,4.806402710867238e-07,4.801379800352395e-07,4.79981214698547e-07,4.796181927409796e-07,4.795175919054188e-07,4.789976810791022e-07,4.787391179553103e-07,4.786748390405809e-07,4.786314177486884e-07,4.781627779852622e-07,4.778450012440497e-07,4.776056605428407e-07,4.773374228083779e-07,4.770199620380946e-07,4.7674926041681845e-07,4.7656172258401347e-07
1,0,5,1.0210182895639588e-06,1.0210489766821307e-06,1.0202035703896475e-06,1.0198970677407591e-06,1.019824953860842e-06,1.0186936501804815e-06,1.0177172501914757e-06,1.0168980401524077e-06,1.0166587199964847e-06,1.0157777967416284e-06,1.0155028429154573e-06,1.014866100142239e-06,1.0146896378869005e-06,1.013777617155255e-06,1.0133240155216189e-06,1.013211246472145e-06,1.0131350686444098e-06,1.0123128521215542e-06,1.011755279033512e-06,1.011335307930175e-06,1.010864608314621e-06,1.0103075015406013e-06,1.0098324248011383e-06,1.0095032845906423e-06
1,0,6,1.8326977566621523e-06,1.8327460095843735e-06,1.8314166558401484e-06,1.830934685803529e-06,1.8308212870716244e-06,1.8290422714243134e-06,1.8275067776784683e-06,1.8262184320080213e-06,1.8258420521546854e-06,1.8244565866301156e-06,1.824024144174131e-06,1.8230226666591702e-06,1.8227451195537709e-06,1.821310621674424e-06,1.8205971400661929e-06,1.8204197605438755e-06,1.8202999365076825e-06,1.8190066042113967e-06,1.8181295248381723e-06,1.8174688833374995e-06,1.8167284280858115e-06,1.8158520262608532e-06,1.815104651342751e-06,1.8145868496896796e-06
1,0,7,2.9644514790481687e-06,2.964522359882069e-06,2.9625696021998454e-06,2.9618616050579814e-06,2.961695025819438e-06,2.9590816835282003e-06,2.9568260353890447e-06,2.9549334237649128e-06,2.954380508094416e-06,2.952345191873188e-06,2.9517099073718217e-06,2.9502386653663503e-06,2.9498309263451366e-06,2.947723516252602e-06,2.946675334924207e-06,2.9464147441807856e-06,2.946238708756311e-06,2.9443386404244235e-06,2.943050086594554e-06,2.9420795033971602e-06,2.940991654187764e-06,2.939704067177348e-06,2.938606034446777e-06,2.9378452828084915e-06
1,0,8,4.462249968852469e-06,4.462349263134261e-06,4.459613716475579e-06,4.4586219080896655e-06,4.458388552982845e-06,4.454727607475379e-06,4.451567737121365e-06,4.448916428834285e-06,4.4481418634008615e-06,4.4452906374962786e-06,4.444400681493985e-06,4.4423396490701995e-06,4.441768455418839e-06,4.438816222115328e-06,4.43734784130054e-06,4.436982783574378e-06,4.436736178093811e-06,4.434074397124729e-06,4.432269275999173e-06,4.430909594955804e-06,4.429385635455363e-06,4.427581862643124e-06,4.426043633387541e-06,4.424977898717947e-06
1,0,9,6.372053249045258e-06,6.372187482497217e-06,6.368489370941374e-06,6.367148574787061e-06,6.366833109197924e-06,6.361884000289702e-06,6.3576122940968724e-06,6.354028104689885e-06,6.352981005027915e-06,6.349126570474948e-06,6.347923484402567e-06,6.345137284384219e-06,6.3443651191951775e-06,6.340374165443369e-06,6.338389150928716e-06,6.337895652128188e-06,6.33756228164959e-06,6.333963992552228e-06,6.331523772178473e-06,6.329685715031037e-06,6.327625584553039e-06,6.325187199026795e-06,6.323107785644972e-06,6.32166710319729e-06
