atomic_number,ion_number,level_number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0,2.9940221843180306e-15,2.992364926681285e-15,3.0383856253009323e-15,3.0552587893068572e-15,3.0592433923413997e-15,3.122492974178941e-15,3.1782181421166197e-15,3.225800924209751e-15,3.2398463043453794e-15,3.2921181815497364e-15,3.308619196333783e-15,3.3471764085496524e-15,3.357947529674172e-15,3.414216360433888e-15,3.4425805016672752e-15,3.449671473281954e-15,3.45447049437371e-15,3.5067293673981587e-15,3.542653183981999e-15,3.5699737245808475e-15,3.600864898034241e-15,3.637800160552954e-15,3.669620101902887e-15,3.6918415420919205e-15
1,0,1,8.597160907219307e-20,8.595661351699238e-20,8.637089867305408e-20,8.65216992254267e-20,8.655722619318455e-20,8.711689934592043e-20,8.760349039331846e-20,8.80143039468376e-20,8.813476012700937e-20,8.857988717873559e-20,8.871938114618791e-20,8.90434531706279e-20,8.913351937391913e-20,8.960078812655256e-20,8.983430005535808e-20,8.989246809781732e-20,8.99317877949298e-20,9.035751734803113e-20,9.064761709931561e-20,9.086687359594233e-20,9.111338280208561e-20,9.140619807295685e-20,9.165680465924845e-20,9.183091966191491e-20
1,0,2,2.157496007602425e-20,2.1572711851316078e-20,2.163476114941668e-20,2.1657314927472614e-20,2.1662625852571913e-20,2.1746166102317908e-20,2.181860733103272e-20,2.1879630427695112e-20,2.189749962765943e-20,2.196344006882952e-20,2.1984074671310815e-20,2.2031958255695135e-20,2.2045252542678982e-20,2.211413002404019e-20,2.214849185603037e-20,2.2157045342461533e-20,2.2162825849041317e-20,2.2225343011494376e-20,2.2267869549591432e-20,2.229997149040086e-20,2.2336023138594318e-20,2.237879158724271e-20,2.2415347475253082e-20,2.2440719822086837e-20
1,0,3,1.780015005120642e-20,1.779873266941176e-20,1.783783619174486e-20,1.7852041828232844e-20,1.7855386345265336e-20,1.790796508735918e-20,1.7953512568416718e-20,1.7991848054147127e-20,1.8003068044823725e-20,1.8044449590675482e-20,1.8057391879609032e-20,1.8087411981018037e-20,1.8095743449342494e-20,1.8138886135352234e-20,1.8160395223119195e-20,1.8165747898157056e-20,1.8169364945806674e-20,1.820846705410005e-20,1.8235048163853492e-20,1.825510397610221e-20,1.827761773278733e-20,1.8304312824219528e-20,1.8327118832814782e-20,1.834294166473133e-20
1,0,4,1.949511466950222e-20,1.949378410148349e-20,1.9530485438877047e-20,1.9543814748715768e-20,1.9546952664047512e-20,1.9596269291349706e-20,1.963896941968477e-20,1.9674892991393396e-20,1.9685404405509772e-20,1.9724162184592858e-20,1.9736280523282193e-20,1.9764383299924418e-20,1.9772181133384165e-20,1.981254995704327e-20,1.9832669518342673e-20,1.9837675719444204e-20,1.98410584851364e-20,1.9877619983451577e-20,1.990246576849736e-20,1.992120784124763e-20,1.9942242336558518e-20,1.996717725060037e-20,1.9988474207770824e-20,2.0003247188932218e-20
1,0,5,2.3145225411230988e-20,2.3143788748487968e-20,2.318341208464875e-20,2.3197800339080558e-20,2.320118736928085e-20,2.325441036240252e-20,2.330047939443195e-20,2.3339227628254388e-20,2.3350563896809883e-20,2.3392356617305214e-20,2.3405421799920587e-20,2.3435716513436097e-20,2.3444121609986086e-20,2.348762762902455e-20,2.3509306645226355e-20,2.3514700450243426e-20,2.3518345030211084e-20,2.3557731347247196e-20,2.3584491641510844e-20,2.3604675154752668e-20,2.3627324592621685e-20,2.365417006593315e-20,2.367709553881688e-20,2.3692996383898932e-20
1,0,6,2.8042070928414954e-20,2.8040434799887044e-20,2.808555624479259e-20,2.8101939370674706e-20,2.810579587200932e-20,2.8166389699292406e-20,2.821882922464074e-20,2.826292874020504e-20,2.827582940402519e-20,2.8323384844406415e-20,2.8338250064051257e-20,2.837271584859579e-20,2.838227750698617e-20,2.8431765356083046e-20,2.8456422172240866e-20,2.846255655920503e-20,2.846670147996898e-20,2.851149136746068e-20,2.85419193404961e-20,2.856486717455996e-20,2.859061665340804e-20,2.862113372874875e-20,2.864719231101576e-20,2.8665264967731356e-20
1,0,7,3.396162069519001e-20,3.395972132156669e-20,3.40121001106883e-20,3.403111703156784e-20,3.403559341593748e-20,3.4105922002141937e-20,3.4166778788316436e-20,3.4217951526941906e-20,3.4232920434351735e-20,3.428809638842652e-20,3.430534251886845e-20,3.4345326437873184e-20,3.43564184354236e-20,3.441382313445776e-20,3.444242215324292e-20,3.4449537087469004e-20,3.445434449725467e-20,3.450629048256028e-20,3.4541577087011015e-20,3.456818762208562e-20,3.4598045408626337e-20,3.4633429317982115e-20,3.466364186210496e-20,3.4684594462897065e-20
1,0,8,4.0813333777326053e-20,4.08111188790438e-20,4.0872196825152167e-20,4.0894371067588175e-20,4.089959057188745e-20,4.098159030609507e-20,4.105254027181658e-20,4.111219569693555e-20,4.112964518024417e-20,4.119396167690794e-20,4.1214063878163146e-20,4.1260667648915757e-20,4.1273595637629606e-20,4.1340499195080316e-20,4.1373828673166994e-20,4.138212026944423e-20,4.1387722681182043e-20,4.1448256739816965e-20,4.148937483405342e-20,4.152038179503031e-20,4.1555171218789775e-20,4.159639776940666e-20,4.163159754960137e-20,4.1656008019769745e-20
1,0,9,4.8554457311858037e-20,4.8551879896796115e-20,4.862295287342576e-20,4.8648754912723574e-20,4.865482828104115e-20,4.875023902261044e-20,4.8832787638420596e-20,4.8902191610539696e-20,4.892249194772616e-20,4.899731381436722e-20,4.902069867515973e-20,4.9074911294901305e-20,4.908994962946965e-20,4.9167771889292653e-20,4.9206539173667156e-20,4.9216183405544663e-20,4.9222699720376366e-20,4.9293106603976046e-20,4.9340928888663205e-20,4.937699038898951e-20,4.9417449859434304e-20,4.9465394109300765e-20,4.9506328278828104e-20,4.9534714766161807e-20
