line_id,wavelength,atomic_number,ion_number,f_ul,f_lu,level_number_lower,level_number_upper,nu,B_lu,B_ul,A_ul,wavelength_cm
566138,912.7677031995009,1,0,6.448888888888889e-08,5.804e-05,0.0,29.0,3284433234755625.0,889453.3487899831,988.2814986555367,516.3053096358842,9.12767703199501e-06
566137,912.8389369534501,1,0,7.642092746730084e-08,6.427e-05,0.0,28.0,3284176932685856.5,985003.9280094407,1171.2294031027832,611.7390689488402,9.128389369534504e-06
566136,912.9179514193913,1,0,9.109693877551021e-08,7.142e-05,0.0,27.0,3283892682073860.5,1094679.7865093194,1396.2752378945402,729.0923070629659,9.129179514193915e-06
566135,913.0059229915935,1,0,1.0930041152263374e-07,7.968e-05,0.0,26.0,3283576266599535.5,1221401.4361425664,1675.4477862037947,874.6148238136616,9.130059229915937e-06
566134,913.104259215531,1,0,1.3204142011834318e-07,8.926e-05,0.0,25.0,3283222643792710.0,1368399.027937285,2024.2589170669892,1056.359339032201,9.131042592155312e-06
566133,913.2146555437877,1,0,1.6064000000000001e-07,0.0001004,0.0,24.0,3282825742886090.0,1539366.713302264,2462.9867412836225,1284.8433382072365,9.132146555437879e-06
566132,913.339169051211,1,0,1.9722222222222222e-07,0.0001136,0.0,23.0,3282378202518440.0,1741991.0538080959,3024.2900239723886,1577.0080443787185,9.133391690512113e-06
566131,913.4803151628769,1,0,2.440453686200378e-07,0.0001291,0.0,22.0,3281871026925696.5,1979980.6283700457,3742.8745337808045,1950.8074742307663,9.13480315162877e-06
566130,913.6411959918757,1,0,3.0495867768595043e-07,0.0001476,0.0,21.0,3281293130335880.0,2264110.0738806515,4677.913375786469,2436.867272260762,9.136411959918759e-06
566129,913.8256726794593,1,0,3.850340136054422e-07,0.0001698,0.0,20.0,3280630726000160.0,2605172.8688530535,5907.421471322116,3075.4920843839195,9.138256726794594e-06
566128,914.0385998769054,1,0,4.9175e-07,0.00019669999999999998,0.0,19.0,3279866496233018.5,3018591.899310292,7546.479748275732,3926.0653348959695,9.140385998769056e-06
566127,914.2861493891218,1,0,6.360110803324099e-07,0.00022959999999999997,0.0,18.0,3278978448927675.5,3524435.201880833,9762.978398561863,5075.076899946312,9.142861493891219e-06
566126,914.5762639845,1,0,8.339506172839506e-07,0.0002702,0.0,17.0,3277938317510072.0,4148974.604440569,12805.477174199286,6650.322544499182,9.145762639845001e-06
566125,914.9193049031503,1,0,1.1110726643598617e-06,0.00032110000000000005,0.0,16.0,3276709283467734.5,4932403.56357501,17067.140358391036,8853.5838930122,9.149193049031505e-06
566124,915.3289937886257,1,0,1.5062500000000002e-06,0.00038560000000000005,0.0,15.0,3275242672682453.5,5925837.669329775,23147.803395819432,11991.813020052614,9.153289937886258e-06
566123,915.8238128563785,1,0,2.0826666666666666e-06,0.0004686,0.0,14.0,3273473060991635.0,7205261.078844047,32023.382572640203,16562.966731776458,9.158238128563786e-06
566122,916.4291374589823,1,0,2.945918367346939e-06,0.0005774,0.0,13.0,3271310849317229.5,8884053.688099911,45326.80453112199,23397.26839951746,9.164291374589825e-06
566121,917.1805749511055,1,0,4.276331360946746e-06,0.0007227000000000001,0.0,12.0,3268630694844161.5,11128801.825374879,65850.89837499928,33908.133196109055,9.171805749511057e-06
566120,918.1293597483397,1,0,6.3986111111111114e-06,0.0009214000000000001,0.0,11.0,3265252927781041.5,14203245.35087723,98633.64826998077,50631.429801957165,9.181293597483398e-06
566119,919.3513947052538,1,0,9.925619834710745e-06,0.001201,0.0,10.0,3260912636088556.0,18537879.404372834,153205.6149121722,78331.56172525145,9.19351394705254e-06
566118,920.9630642299128,1,0,1.605e-05,0.001605,0.0,9.0,3255206095053108.5,24817198.566647228,248171.98566647226,126221.35488558869,9.20963064229913e-06
566117,923.1503304302224,1,0,2.7358024691358026e-05,0.002216,0.0,8.0,3247493372615546.5,34346120.67360028,424026.18115555897,214132.26212204693,9.231503304302225e-06
566116,926.2256603912437,1,0,4.9734374999999994e-05,0.0031829999999999996,0.0,7.0,3236710780322861.0,49498148.376742445,773408.5683866007,386692.0772603411,9.262256603912439e-06
566115,930.7482060805992,1,0,9.824489795918367e-05,0.004814,0.0,6.0,3220983462997285.5,75227009.85562779,1535245.0990944451,756463.2199074086,9.307482060805994e-06
566114,937.8033810660834,1,0,0.00021663888888888888,0.0077989999999999995,0.0,5.0,3196751729122575.5,122796565.57283244,3411015.7103564567,1643066.1857734239,9.378033810660835e-06
566113,949.7429176635192,1,0,0.0005576,0.013940000000000001,0.0,4.0,3156564291498221.0,222282024.37253454,8891280.974901382,4123375.2947620493,9.497429176635193e-06
566112,972.5366093327499,1,0,0.001811875,0.02899,0.0,3.0,3082582754449576.0,473357954.74231493,29584872.171394683,12777872.26666464,9.7253660933275e-06
566111,1025.722024572974,1,0,0.00878888888888889,0.0791,0.0,2.0,2922745644706311.0,1362202491.6473176,151355832.40525752,55720735.32413264,1.0257220245729742e-05
566110,1215.6710255412443,1,0,0.10405,0.4162,0.0,1.0,2466065668271772.5,8494809569.134993,2123702392.2837481,469626050.6849766,1.2156710255412445e-05
566166,3663.2983793342364,1,0,5.719999999999999e-07,0.00012869999999999998,1.0,29.0,818367566483852.4,7915645.690464925,35180.64751317744,284.31100327495847,3.663298379334237e-05
566165,3664.44603613551,1,0,6.782401902497027e-07,0.0001426,1.0,28.0,818111264414083.8,8773307.712666828,41727.97960840347,336.90626477885934,3.6644460361355106e-05
566164,3665.71968081931,1,0,8.091836734693876e-07,0.00015859999999999998,1.0,27.0,817827013802088.1,9761081.526881438,49801.436361639986,401.67133152703775,3.6657196808193106e-05
566163,3667.138488641401,1,0,9.717421124828533e-07,0.0001771,1.0,26.0,817510598327762.8,10903887.911018057,59829.28894934463,481.99066639918595,3.667138488641402e-05
566162,3668.725434410962,1,0,1.1745562130177515e-06,0.0001985,1.0,25.0,817156975520937.5,12226755.499068094,72347.66567495915,582.0839333167194,3.6687254344109626e-05
566161,3670.5082351333717,1,0,1.43168e-06,0.00022370000000000002,1.0,24.0,816760074614317.5,13785664.115902,88228.25034177279,708.8196999855528,3.670508235133372e-05
566160,3672.520577877234,1,0,1.7583333333333336e-06,0.00025320000000000003,1.0,23.0,816312534246667.2,15612176.238552539,108417.89054550373,869.5908476029213,3.672520577877234e-05
566159,3674.8037362080654,1,0,2.179206049149338e-06,0.00028819999999999996,1.0,22.0,815805358653923.6,17781305.010363586,134452.21179859043,1076.396368786132,3.674803736208066e-05
566158,3677.408722725595,1,0,2.7272727272727272e-06,0.00033,1.0,21.0,815227462064107.9,20374705.856601473,168385.9988148882,1345.2004147994514,3.677408722725596e-05
566157,3680.3991916378536,1,0,3.4503401360544216e-06,0.0003804,1.0,20.0,814565057728387.6,23505578.32040404,213202.5244481092,1699.0817831469217,3.680399191637854e-05
566156,3683.8554066238494,1,0,4.416000000000001e-06,0.00044160000000000005,1.0,19.0,813800827961245.5,27312857.961975668,273128.5796197567,2170.5317368765914,3.68385540662385e-05
566155,3687.8797471742405,1,0,5.725207756232687e-06,0.0005167,1.0,18.0,812912780655902.8,31992687.123769622,354489.60801960796,2807.889255867527,3.687879747174241e-05
566154,3692.60447782378,1,0,7.52962962962963e-06,0.0006099,1.0,17.0,811872649238299.4,37811763.36287804,466811.8933688647,3683.4116487915016,3.692604477823781e-05
566153,3698.202914082403,1,0,1.0062283737024222e-05,0.000727,1.0,16.0,810643615195961.6,45139906.301536955,624773.7896406499,4907.466156297094,3.698202914082404e-05
566152,3704.905803870897,1,0,1.3693749999999999e-05,0.0008763999999999999,1.0,15.0,809177004410681.2,54514878.12047331,851794.9706323955,6654.421103975313,3.704905803870898e-05
566151,3713.0259235069425,1,0,1.9022222222222223e-05,0.00107,1.0,14.0,807407392719862.4,66703291.51859564,1185836.2936639227,9203.383408067491,3.713025923506943e-05
566150,3722.995990001166,1,0,2.7061224489795917e-05,0.001326,1.0,13.0,805245181045457.0,82884171.07381143,1691513.6953839068,13022.804888975952,3.722995990001167e-05
566149,3735.428882072766,1,0,3.957396449704142e-05,0.0016719999999999999,1.0,12.0,802565026572389.1,104860579.00883074,2481907.1954752835,18917.809234599892,3.735428882072767e-05
566148,3751.2166821088163,1,0,5.975e-05,0.002151,1.0,11.0,799187259509269.5,135471539.89049298,3763098.330291472,28322.77708063573,3.751216682108817e-05
