atomic_number,ion_number,level_number,0
1,0,0,0.0
1,0,1,2.12926145146e-09
1,0,2,4.78475387464e-08
1,0,3,8.86144377646e-08
1,0,4,8.78804180686e-08
1,0,5,7.09358379715e-08
1,0,6,5.25271899535e-08
1,0,7,3.92040847044e-08
1,0,8,2.88749499286e-08
1,0,9,2.13684423308e-08
1,0,10,1.56093014332e-08
1,0,11,1.1516181695e-08
1,0,12,8.89130565741e-09
1,0,13,6.89547684919e-09
1,0,14,5.30130460486e-09
1,0,15,4.13884384151e-09
1,0,16,3.26562885691e-09
1,0,17,2.59886285224e-09
1,0,18,2.08748949403e-09
1,0,19,1.67609242228e-09
1,0,20,1.35322171147e-09
1,0,21,1.097871014e-09
1,0,22,8.94308885414e-10
1,0,23,7.25952028283e-10
1,0,24,5.95471438928e-10
1,0,25,4.87897766788e-10
1,0,26,4.04127495478e-10
1,0,27,3.2369743985e-10
1,0,28,2.69699139077e-10
1,0,29,2.27677275749e-10
